longitude,latitude,species,loc
-90.041181,-0.801774,Microlophus barringtonensis,island
-90.04116,-0.80333,Microlophus barringtonensis,island
-90.04116,-0.80333,Microlophus barringtonensis,island
-90.04116,-0.80333,Microlophus barringtonensis,island
-90.04116,-0.80333,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
-90.041111,-0.803611,Microlophus barringtonensis,island
