"grid_cells","annual_mean_temp_mean","mean_diurnal_range_mean","isothermality_mean","temperature_seasonality_mean","max_temp_warmest_month_mean","min_temp_coldest_month_mean","ann_temperature_range_mean","mean_temp_wettest_quarter_mean","mean_temp_driest_quarter_mean","mean_temp_warmest_quarter_mean","mean_temp_coldest_quarter_mean","ann_precipitaiton_mean","precip_wettest_month_mean","precip_driest_month_mean","precip_seasonality_mean","precip_wettest_quarter_mean","precip_driest_quarter_mean","precip_warmest_quarter_mean","precip_coldest_quarter_mean","altitude_mean","annual_mean_temp_stdev","mean_diurnal_range_stdev","isothermality_stdev","temperature_seasonality_stdev","max_temp_warmest_month_stdev","min_temp_coldest_month_stdev","ann_temperature_range_stdev","mean_temp_wettest_quarter_stdev","mean_temp_driest_quarter_stdev","mean_temp_warmest_quarter_stdev","mean_temp_coldest_quarter_stdev","ann_precipitaiton_stdev","precip_wettest_month_stdev","precip_driest_month_stdev","precip_seasonality_stdev","precip_wettest_quarter_stdev","precip_driest_quarter_stdev","precip_warmest_quarter_stdev","precip_coldest_quarter_stdev","altitude_stdev","annual_mean_temp_sterr","mean_diurnal_range_sterr","isothermality_sterr","temperature_seasonality_sterr","max_temp_warmest_month_sterr","min_temp_coldest_month_sterr","ann_temperature_range_sterr","mean_temp_wettest_quarter_sterr","mean_temp_driest_quarter_sterr","mean_temp_warmest_quarter_sterr","mean_temp_coldest_quarter_sterr","ann_precipitaiton_sterr","precip_wettest_month_sterr","precip_driest_month_sterr","precip_seasonality_sterr","precip_wettest_quarter_sterr","precip_driest_quarter_sterr","precip_warmest_quarter_sterr","precip_coldest_quarter_sterr","altitude_sterr","annual_mean_temp_median","mean_diurnal_range_median","isothermality_median","temperature_seasonality_median","max_temp_warmest_month_median","min_temp_coldest_month_median","ann_temperature_range_median","mean_temp_wettest_quarter_median","mean_temp_driest_quarter_median","mean_temp_warmest_quarter_median","mean_temp_coldest_quarter_median","ann_precipitaiton_median","precip_wettest_month_median","precip_driest_month_median","precip_seasonality_median","precip_wettest_quarter_median","precip_driest_quarter_median","precip_warmest_quarter_median","precip_coldest_quarter_median","altitude_median","annual_mean_temp_min","mean_diurnal_range_min","isothermality_min","temperature_seasonality_min","max_temp_warmest_month_min","min_temp_coldest_month_min","ann_temperature_range_min","mean_temp_wettest_quarter_min","mean_temp_driest_quarter_min","mean_temp_warmest_quarter_min","mean_temp_coldest_quarter_min","ann_precipitaiton_min","precip_wettest_month_min","precip_driest_month_min","precip_seasonality_min","precip_wettest_quarter_min","precip_driest_quarter_min","precip_warmest_quarter_min","precip_coldest_quarter_min","altitude_min","annual_mean_temp_max","mean_diurnal_range_max","isothermality_max","temperature_seasonality_max","max_temp_warmest_month_max","min_temp_coldest_month_max","ann_temperature_range_max","mean_temp_wettest_quarter_max","mean_temp_driest_quarter_max","mean_temp_warmest_quarter_max","mean_temp_coldest_quarter_max","ann_precipitaiton_max","precip_wettest_month_max","precip_driest_month_max","precip_seasonality_max","precip_wettest_quarter_max","precip_driest_quarter_max","precip_warmest_quarter_max","precip_coldest_quarter_max","altitude_max","species","long_min","long_max","lat_min","lat_max","long_cent","lat_cent"
6261,224.208923628074,68.3616674808663,58.8322748737991,1503.01595831298,290.82820387559,175.529555446996,115.298648428595,242.165119687347,214.694837974271,244.934701188731,205.978342289529,711.688487217066,104.394072626608,37.9791564891711,42.660315909461,271.092330239375,122.368669597785,258.653802312327,143.612115290669,311.375508874776,18.3841692581837,1.31340721864405,1.39981636301516,56.2503021144045,17.8606611703253,18.6557266739716,1.69076235055424,21.8942846819076,15.3252156775732,17.8733729820412,18.6355764606378,320.736010019353,26.4629553139567,24.3310144167008,18.2675974637849,70.7300490956566,79.1615646093837,54.2077286695426,99.1699968900032,341.389411054139,0.232339022526402,0.0165988326735536,0.0176908709298696,0.710890985963796,0.225722930403362,0.235770963543583,0.0213678446023523,0.276699840524192,0.193679985237767,0.225883582204764,0.235516305266457,4.05345980067836,0.334438672994027,0.307495216523618,0.230865788877146,0.893885942809949,1.00044338608433,0.685076954829028,1.253309835097,4.31447736099764,231,69,59,1507,298,183,115,250,220,252,213,634,100,32,39,254,100,248,116,178,152,65,56,1335,219,100,111,137,162,174,134,305,68,7,18,185,23,185,25,-3,244,73,62,1655,308,196,122,261,235,263,228,1897,221,117,86,603,379,425,546,1685,"Microlophus_albemarlensis",-91.661880493,-90.780731201,-1.05115985899994,0.165531174000023,-91.22231545,-0.53699121
5222,173.102647735994,88.7490406753645,53.8367229470453,2492.0984267076,256.42939370683,93.8973522640061,162.532041442824,143.340943975441,205.522640061397,205.545855717575,141.232924021489,20.7492325402916,6.75959324635457,0,84.8881427475058,15.7853031465848,0.0767459708365311,0.0786646201074444,15.4443591711435,294.107636224098,9.51988982781649,13.3143340830515,4.06698969120007,140.26234056575,9.97710886873767,12.5859477240112,13.1800169819763,9.18666257401607,10.20530309117,10.2107709176806,8.99695283324382,17.5147236190681,6.42563366957614,0,31.6088639713993,13.4790593911036,0.349713157033228,0.352022831684594,13.19742815091,291.200535365866,0.131738734928988,0.184247250782041,0.0562800711540189,1.94098709528332,0.138065852062256,0.174167649104391,0.182388535471778,0.127127448700521,0.141223663625736,0.141299328844594,0.124502195498534,0.242373344013386,0.0889196057998108,0,0.437411758691508,0.186526762844268,0.00483942248585316,0.00487138437009467,0.182629475798868,4.02970946445733,172,89,53,2479,256,93,164,143,205,205,141,17,5,0,90,13,0,0,13,192,139,65,46,1914,225,46,137,114,168,168,110,0,0,0,0,0,0,0,0,-22,201,141,72,2878,283,130,194,203,234,234,167,86,35,0,140,66,2,2,66,1912,"Microlophus_atacamensis",-71.318205437,-70.199922809,-29.561707456,-22.484942243,-70.6619845,-25.61793512
804,227.322580645161,62.2677419354839,54.6967741935484,1758.07096774194,289.109677419355,176.233870967742,112.875806451613,246.532258064516,212.125806451613,250.03064516129,205.416129032258,841.058064516129,131.511290322581,31.0838709677419,54.6129032258064,356.537096774194,129.691935483871,341.024193548387,146.258064516129,145.7,9.6796410325242,1.16460650076802,1.29182439049422,47.3133929509955,8.36723183346208,8.83204335575454,0.980782300245713,11.4759251293589,5.74669773781261,8.7581411692093,9.88337801977997,285.297469420318,25.5189410147309,16.2846071758533,17.0382586111703,51.7490238062687,75.6415123062065,38.5899414580994,90.824732329415,145.348459909493,0.341374618268797,0.0410725044758575,0.0455591335147152,1.66861471446899,0.295089514530249,0.311482153002726,0.0345895247795013,0.404724673895743,0.202670402751533,0.308875823838624,0.348559867806252,10.0616659635587,0.89998365830473,0.574313813873381,0.600893050662701,1.82504735333569,2.66767045410485,1.36096230118552,3.20314133800418,5.12604494844799,230.5,62,55,1751.5,292,179,113,250,213,253,209,743,119,26,56,340,104,329,115,96.5,198,60,52,1648,264,148,111,208,195,223,177,446,107,8,24,282,27,282,28,-14,240,65,57,1865,301,187,116,261,222,261,218,1529,190,74,98,466,315,416,382,625,"Microlophus_bivittatus",-89.797953,-89.242653,-0.975419,-0.699336,-89.4817831,-0.84289455
76,228.811594202899,60.1884057971015,51.9710144927536,1827.30434782609,293.695652173913,178.68115942029,115.014492753623,252.652173913043,209.710144927536,252.652173913043,205.840579710145,541.579710144928,99.0724637681159,15.695652173913,69.5797101449275,275.739130434783,56.0144927536232,275.739130434783,60.3478260869565,67.9130434782609,2.96685296885259,0.393900641355173,0.617657207727279,15.4770269487184,2.53971019552189,2.8101326827749,0.652883955619635,2.59992130512423,2.93107814572286,2.59992130512423,2.93870313736898,45.0141826660356,3.43562153200377,2.81437668277222,5.89218275020449,8.96505007025328,10.8376966752263,8.96505007025328,11.8083047632196,47.5186462257758,0.340321375567686,0.045183502354291,0.0708501407955979,1.77533674778735,0.291324739162101,0.322344325846227,0.0748909259053969,0.298231427110392,0.336217721916488,0.298231427110392,0.337092368443613,5.16348087545604,0.394092817533075,0.322831146033193,0.675879714868814,1.02836177052674,1.2431690681068,1.02836177052674,1.35450545151063,5.45076254821098,228,60,52,1828,293,178,115,252,209,252,205,547,100,16,68,277,57,277,61,74,222,60,51,1794,288,173,114,247,203,247,200,466,93,11,58,259,38,259,41,-3,233,61,53,1856,298,183,116,257,214,257,210,645,107,22,80,295,82,295,89,172,"Microlophus_delanonis",-89.7423400878247,-89.6149291990233,-1.41005194174369,-1.33681046992717,-89.6739366,-1.37539979
20,228.125,68.5625,57.0625,1636.125,297.625,178.6875,118.9375,247.125,216.3125,250.5625,208.6875,553.5,84.75,26.375,45.5,229.3125,85.5,219.5,97.0625,175.1875,7.45542308211501,0.51234753829798,0.928708781050335,36.886989576272,6.58153984008808,7.39115462337696,0.997914491994847,7.3291654822815,8.00598734281621,6.75246868436525,7.83767610115822,142.353082158413,13.6601610532233,10.5126907434142,12.9820388742806,35.0784240428976,35.1264382860925,28.7773058734367,40.5799108755387,119.882842114013,1.66708328126302,0.114564392373896,0.207665596572952,8.24818161778704,1.471677047906,1.65271241700827,0.223140463983265,1.63885122367265,1.790193192554,1.50989789941793,1.75255765478153,31.8311168512825,3.05450486986025,2.3507091128707,2.90287214094363,7.84377407034819,7.85451038151541,6.43480121423084,9.07394392385876,26.8066184302807,230,69,57,1638,299,180.5,118.5,248.5,218,252,210,517,82,23.5,45.5,222,75.5,214,86,150,216,68,56,1585,286,166,118,235,203,239,195,357,65,12,28,179,38,178,42,1,239,69,58,1698,307,189,120,258,228,261,220,801,107,45,67,288,148,267,169,379,"Microlophus_duncanensis",-90.687019348,-90.64138794,-0.630911647999937,-0.583109676999925,-90.66471232,-0.6066436
204,223.783783783784,61.9297297297297,52.0594594594595,1786.51891891892,293.556756756757,176.286486486486,117.27027027027,247.378378378378,204.535135135135,247.918918918919,202.054054054054,473.718918918919,91.7675675675676,16.4486486486486,66.2648648648649,223.043243243243,59.9243243243243,222.92972972973,64.3621621621622,167.243243243243,6.23600666159292,0.330402311472782,0.298054798232986,19.5595778528432,5.77741764472659,6.10052395122222,0.618933543205422,7.00369216041017,6.06756416530699,5.96902502042646,6.32260414301229,142.124359655622,8.95247275939101,11.2674411088847,24.3252442703698,19.9384452282483,41.0439147465289,19.7197879109448,44.3531244386859,106.07467770535,0.436607796604728,0.0231327888236078,0.0208680098957319,1.36944436596658,0.404500143251133,0.427122109551617,0.0433340156943721,0.490356532344273,0.424814462962071,0.417915342858403,0.442670833032655,9.95069551405007,0.626798465388925,0.788878669136488,1.70310775454577,1.39597038797997,2.87364881950539,1.38066131364761,3.1053398407954,7.42671293052454,224,62,52,1786,294,177,117,249,205,249,202,447,91,14,65,222,50,222,54,155,211,61,51,1738,281,163,116,231,192,236,189,267,77,1,30,189,6,189,6,0,234,63,53,1836,303,186,119,257,215,257,213,774,110,40,113,268,149,265,160,393,"Microlophus_grayii",-90.510429383,-90.292984009,-1.35714542799997,-1.21872901899997,-90.43380596,-1.29097724
151,238.62962962963,74.9555555555555,64.2,1380.47407407407,302.02962962963,186.133333333333,115.896296296296,255.214814814815,228.762962962963,256.918518518519,222.118518518519,608.037037037037,81.8740740740741,28.1407407407407,37.5407407407407,240.007407407407,94.9481481481481,215.303703703704,119.392592592593,100.192592592593,4.21394405381322,0.206847938475928,0.50074571256948,17.0157212774389,4.05179293414719,4.12274361625522,0.614186442523938,4.3732313016452,4.09077485527234,4.08318695375088,4.20385724059243,57.9767590347223,5.46143826339911,4.15764529181862,3.63803080029909,13.4133461585319,13.969219103656,10.6394605365389,17.5996507327523,74.6720687752027,0.342925903690055,0.0168330465052317,0.0407501081668183,1.38471975932466,0.329730232713951,0.335504117338097,0.0499817838459696,0.355888516081564,0.332902536465189,0.332285041796743,0.342105050471569,4.71808173794136,0.44444554270454,0.338344375414624,0.29605874779374,1.09156262973157,1.13679892846009,0.865827019218655,1.43223926447172,6.07672677618262,239,75,64,1380,302,187,116,256,229,257,223,596,81,27,38,238,92,213,116,93,229,74,63,1344,293,177,115,246,218,248,212,516,73,21,30,218,73,197,93,0,244,75,65,1426,308,192,117,261,234,263,228,748,95,38,44,271,129,240,163,269,"Microlophus_habelii",-90.54183197,-90.40120697,0.280717253000034,0.391899705000071,-90.47560521,0.3365836
1210,226.936170212766,68.4170212765957,56.3702127659574,1718.17617021277,297.037446808511,176.692765957447,120.344680851064,246.592340425532,213.428936170213,250.125957446809,206.673191489362,579.735319148936,84.2068085106383,27.7642553191489,49.6774468085106,239.614468085106,93.3642553191489,219.264680851064,103.203404255319,171.476595744681,10.2294882547451,2.96884153845685,2.4612771865648,84.5966405668747,8.91146842306124,9.64745195507166,1.26120337309759,9.80411775360747,8.46637885069243,9.09449532564456,10.7630711915896,247.998290722415,22.6342059500218,17.842957245753,18.5917484659864,61.605841348703,61.7647215946578,51.9351145128987,70.0689146434,157.050890487931,0.294077110753956,0.0853481933967457,0.0707567442050542,2.43198242354474,0.256186704668568,0.277344743591553,0.0362570477425046,0.281848568635392,0.243391279109697,0.261448358170832,0.309416541672415,7.12944958646761,0.650687671194583,0.512948955359856,0.534475189431442,1.77104341666255,1.77561090259369,1.49302956729478,2.01433966771881,4.51489565908667,230,68,56,1740,300,180,120,249,214,253,209,505,78,22,50,224,73,208,79,120,191,64,52,1493,261,141,116,211,189,215,171,200,45,2,20,122,7,115,11,0,243,78,64,1893,308,188,123,262,229,263,225,1335,151,77,98,405,276,358,331,807,"Microlophus_indefatigabilis",-90.548500061,-90.02722168,-0.838029562999964,-0.384728222999968,-90.3475644,-0.62389071
68059,233.142503317116,104.040262420758,68.3934099955772,1749.87997936017,313.116703523515,160.903095975232,152.213607548282,255.396977738464,218.01623175586,256.101872327879,212.469821612856,256.725475453339,75.7777089783282,2.45095090667846,140.48008255934,171.099498746867,9.64542237947811,163.248459383754,10.9339820138582,141.565575703966,14.9052067541704,17.5849842609558,5.74029291743776,571.815010390759,16.5387966842955,22.851097145566,28.4356741854945,12.7694122576089,16.0428451577818,12.83720455044,18.3985422664162,373.440775864338,72.6045031894224,7.13308875945129,40.1559460273262,205.325102096513,27.5245443265307,194.448866542029,29.9735990736609,180.30556262914,0.0571340779266315,0.0674061002758601,0.0220034749115316,2.19185979115267,0.0633958934054283,0.087591966120061,0.108998556786593,0.0489472307923125,0.0614948306673525,0.0492070896594396,0.0705246002234576,1.43145913646888,0.278304850879589,0.0273422875483456,0.15392426199663,0.787044458822652,0.105506048079945,0.745354081764013,0.114893672624635,0.691140501152466,236,108,68,1912,317,154,164,259,219,260,212,101,51,0,142,85,0,82,0,84,151,45,47,293,233,57,75,168,137,168,135,3,1,0,35,3,0,3,0,-25,257,140,91,2518,340,218,187,273,252,273,249,2126,395,50,259,1133,208,1107,233,1948,"Microlophus_occipitalis",-81.32674408,-78.674595166,-8.65899430699994,0.851950575000046,-80.26404146,-4.56657563
70,234.524590163934,74.1639344262295,64.344262295082,1338.65573770492,298.131147540984,183.737704918033,114.393442622951,250.590163934426,225.27868852459,252.524590163934,218.540983606557,794.491803278689,94.672131147541,43.2295081967213,26.5409836065574,270.901639344262,141.901639344262,242.27868852459,185.409836065574,182.770491803279,8.62478319993619,0.897781114170792,0.814150803017871,30.8425492060895,8.52540401747637,8.41803943790608,0.801637668039415,8.3593800591119,8.695077434083,8.22720397497848,9.06747625765075,131.903326082757,9.68972189397166,9.77478634484824,3.93943215236157,26.6231133403745,32.3201201101485,20.9595890127812,43.2571292964833,155.767710971885,1.03085876298704,0.107305367257704,0.097309633207953,3.6863897195922,1.01898067878221,1.00614815706906,0.0958140275160817,0.999137020294997,1.03926053095939,0.983338956572392,1.08377070376045,15.7654629000474,1.15814328241688,1.16831042894938,0.470852201303432,3.18207067339677,3.86299322127734,2.50515004279669,5.17021584928338,18.6178024564128,236,74,64,1332,299,185,114,252,226,254,220,763,92,41,27,265,134,238,173,156,214,72,63,1285,278,164,113,231,205,233,197,634,83,31,20,238,102,216,132,-4,245,75,66,1401,309,194,116,261,236,263,229,1114,119,67,33,331,221,290,293,548,"Microlophus_pacificus",-90.789840698,-90.717277527,0.539718389000029,0.645147085000076,-90.75602538,0.58722575
